PRODUCT,DATE,NAME OF THE COMPANY,EMAIL ADDRESS,WEBSITE LINK,RESPONSES
Candle Holders,10/9/2026,Christofle Silver Tabletop NYC,trade@christofle.com,https://christofle.com,(Awaiting Reply)
Candle Holders,9/9/2026,Montage Palmetto Bluff South Carolina,mpbreservations@montage.com,https://www.montagehotels.com,(Awaiting Reply)
Candle Holders,9/9/2026,Montage Deer Valley Utah,mdvreservations@montage.com,https://www.montagehotels.com,(Awaiting Reply)
Candle Holders,9/9/2026,The Plaza Hotel New York,theplaza@fairmont.com,https://www.theplazany.com,(Awaiting Reply)
Candle Holders,9/9/2026,Commune Design Los Angeles,info@communedesign.com,https://www.communedesign.com,(Awaiting Reply)
Candle Holders,8/9/2026,Lalique Crystal & Decor NYC,trade@lalique.com,https://lalique.com,(Awaiting Reply)
Candle Holders,8/9/2026,Baccarat Luxury Crystal NYC,baccarat_us@baccarat.fr,https://baccarat.com,(Awaiting Reply)
Candle Holders,8/9/2026,Boutique Coeur d'Artichaut Montreal,info@coeurdartichaut.ca,https://coeurdartichaut.ca,(Awaiting Reply)
Candle Holders,8/9/2026,Teatro Verde Luxury Living Toronto,info@teatroverde.com,https://www.teatroverde.com,(Awaiting Reply)
Candle Holders,8/9/2026,Zone Maison Quebec,info@zonemaison.com,https://www.zonemaison.com,(Awaiting Reply)
Candle Holders,8/9/2026,Sonora Resort British Columbia,info@sonoraresort.com,https://sonoraresort.com,(Awaiting Reply)
Candle Holders,8/9/2026,Cecconi Simone Toronto,mail@cecconisimone.com,https://cecconisimone.com,(Awaiting Reply)
Candle Holders,8/9/2026,Mason Studio Toronto,info@masonstudio.com,https://masonstudio.com,(Awaiting Reply)
Candle Holders,8/9/2026,Studio Munge Toronto,info@studiomunge.com,https://studiomunge.com,(Awaiting Reply)
Candle Holders,8/9/2026,DesignAgency Toronto & Montreal,info@thedesignagency.ca,https://thedesignagency.ca,(Awaiting Reply)
Candle Holders,8/9/2026,Burdifilek Design Studio Toronto,info@burdifilek.com,https://burdifilek.com,(Awaiting Reply)
Candle Holders,8/9/2026,Kirkland's Home Decor USA,trade@kirklands.com,https://www.kirklands.com,(Awaiting Reply)
Candle Holders,8/9/2026,Horchow Luxury Tabletop USA,trade@horchow.com,https://www.horchow.com,(Awaiting Reply)
Candle Holders,8/9/2026,Frontgate Luxury Living USA,trade@frontgate.com,https://www.frontgate.com,(Awaiting Reply)
Candle Holders,8/9/2026,Year & Day Tableware California,hello@yearandday.com,https://yearandday.com,(Awaiting Reply)
